time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
12087.109513904297,33917.31196850856,0.09545455665412017,2466279.5276254234,5377.260868485311,0.0,-2667.6653095240376,0.7475193590552569,2.8636366996236075e-06,54127.49149036456,5.450807047264157,0.6036797270169815,5403.229625896443,222.80027161844802
15014.876184989345,34196.78063808369,0.09545455665412017,3121834.4880862175,5367.972735365829,0.0,-2673.558336884593,0.7559034191425108,2.8636366996236075e-06,53142.40414126913,5.43290970342244,0.6113329985497271,5393.305370686447,225.017762747079
15941.504326141914,34285.23151648065,0.09545455665412017,3330666.8592942078,5366.470052417798,0.0,-2675.9548292736195,0.7585569454944193,2.8636366996236075e-06,52830.11932599319,5.424727590953583,0.613941920876358,5391.60308031867,225.71820598748963
15941.504326141914,34285.23151648065,0.09545455665412017,3330666.8592942078,5366.470052417798,0.0,-2675.9548292736195,0.7585569454944193,2.8636366996236075e-06,52830.11932599319,5.424727590953583,0.613941920876358,5391.60308031867,225.71820598748963
17726.248197696346,34455.593451481036,0.09545455665412017,3734718.628949501,5365.550029455817,0.0,-2681.2668641889854,0.763667803544431,2.8636366996236075e-06,52227.76808964583,5.403555565945744,0.6193131489475676,5390.300798755041,227.06542591555353
20188.830469065208,34690.65815041884,0.09545455665412017,4296170.7264438765,5364.560092103249,0.0,-2688.469549557019,0.7707197445125653,2.8636366996236075e-06,51394.70298502136,5.370154960177489,0.6269247946110152,5388.788049917438,228.92026420781366
20968.229338206685,34765.05532392946,0.09545455665412017,4474819.34234619,5365.475674381083,0.0,-2691.1976947887374,0.772951659717884,2.8636366996236075e-06,51130.57772154229,5.356169441760405,0.629548455015922,5389.539263468294,229.5063377156108
20968.229338206685,34765.05532392946,0.09545455665412017,4474819.34234619,5365.475674381083,0.0,-2691.1976947887374,0.772951659717884,2.8636366996236075e-06,51130.57772154229,5.356169441760405,0.629548455015922,5389.539263468294,229.5063377156108
21842.12526471499,34848.47267215615,0.09545455665412017,4675670.925792924,5367.869362206009,0.0,-2694.7890348662663,0.7754541801646847,2.8636366996236075e-06,50834.05986821045,5.3371086365090195,0.6327098834322258,5391.749223571592,230.16291146270748
23047.923278615148,34963.57158698741,0.09545455665412017,4953746.624131575,5373.484929451174,0.0,-2700.6472603371244,0.7789071476096224,2.8636366996236075e-06,50424.214217113076,5.30491501442565,0.6374494018853124,5397.112228364829,231.06788302314303
23429.554227303997,35000.0,0.09545455665412017,5041983.891317722,5375.806203951655,0.0,-2702.714117650594,0.78,2.8636366996236075e-06,50294.3050278144,5.293301923389758,0.6390394740750642,5399.353783023266,231.3540702665993
23429.554227303997,35000.0,-10.606062491381124,5041983.891317722,5375.806203951655,0.0,-1828.7715826464084,0.78,-0.00017272730343106404,50294.3050278144,5.293301923389758,0.3299908800033405,3247.208950088151,231.3540702665993
23567.192827411567,33540.1964060329,-10.606062491381124,5073441.189696821,5320.217444028185,0.0,-1796.7750825540782,0.7562260557553929,-0.00017272730343106404,50262.869925423576,6.414487928108977,0.2864498859355717,3150.887515478556,225.7746550002395
23757.10600312441,31525.965396485866,-10.606062491381124,5115570.490710511,5266.046126337474,0.0,-1755.2670526614384,0.7234228650284842,-0.00017272730343106404,50220.378231208444,7.8387760423176935,0.2366785911507311,3036.131878093398,217.90926462696203
23817.21287391065,30888.468168765634,-10.606062491381124,5128590.955967799,5247.179356425857,0.0,-1739.961945416099,0.7130407673198975,-0.00017272730343106404,50207.13252397984,8.267151885197054,0.22228692519728036,2996.93505032145,215.38004818260234
23817.21287391065,30888.468168765634,-10.606062491381124,5128590.955967799,5247.179356425857,0.0,-1739.961945416099,0.7130407673198975,-0.00017272730343106404,50207.13252397984,8.267151885197054,0.22228692519728036,2996.93505032145,215.38004818260234
24098.3100166938,27907.13430625887,-10.606062491381124,5187438.500381715,5153.006501894568,0.0,-1665.5343327814828,0.6644876158447873,-0.00017272730343106404,50146.70350144519,10.52430314462809,0.1561159302715619,2799.3003647113655,203.30108459447612
24486.166700996248,23793.50207484718,-10.606062491381124,5262943.201365423,4977.377369460921,0.0,-1495.144203565754,0.5974941766475113,-0.00017272730343106404,50069.154031151025,13.578261567073298,0.08554241150042532,2453.413358160324,185.9669030795709
